Date,Name,Icon,Type,Quantity,Units,Calories,Deleted,Fat (g),Protein (g),Carbohydrates (g),Saturated Fat (g),Sugars (g),Fiber (g),Cholesterol (mg),Sodium (mg)
05/29/2022,"Eggs, Large",Egg,Breakfast,2.0,Each,160,0,11,13,1,3.50,0,0,400,130
05/29/2022,Butter regular 2tsp Per Serv,Butter,Breakfast,1.5,Grams,11,0,1.20,0.2,0,0.75,0,0,3.75,0
05/29/2022,Olive Hearth Loaf,OliveBlack,Breakfast,1.0,Serving,150,0,2.50,6,26,0.30,0,2,0,320
05/29/2022,Whole Kernel Corn Frozen,Corn,Dinner,85.0,Grams,85,0,1.42,2.83,15.11,0,6.61,3.78,0,0
05/29/2022,Seasoned Rotisserie Chicken,Chicken,Dinner,82.0,Grams,135,0,6.75,18.32,0.48,2.41,0.48,0,53.3,443.51
05/29/2022,White Kidney Beans,BeanWhite,Dinner,0.5,Cup,85,0,0.47,6.62,17.3,0,0,4.73,0,99.37
05/29/2022,"Beans, Canned, Black",BeanBlack,Dinner,0.5,Cup,100,0,0.50,8,20,0,0,7,0,100
05/29/2022,Avocado Goddess Dressing & Dip,Avocado,Dinner,0.5,Tablespoon,38,0,4,0,0.50,0.38,0.25,0,0,65
05/29/2022,45% Cocoa Dark Chocolate,Chocolate,Snacks,2.0,Pieces,44,0,2.44,0.44,5.33,1.33,4.67,0.67,n/a,n/a
05/29/2022,Fibre One Brownies,Brownie,Snacks,2.0,Servings,180,0,6,2,36,3,14,10,0,170
05/29/2022,"Cheese,Marble Cheddar",Cheese,Snacks,30.0,Grams,120,0,10,7,1,7,0,0,30,220
05/28/2022,Olive Hearth Loaf,OliveBlack,Breakfast,1.0,Serving,150,0,2.50,6,26,0.30,0,2,0,320
05/28/2022,"Cheese,Marble Cheddar",Cheese,Breakfast,15.0,Grams,60,0,5,3.50,0.50,3.50,0,0,15,110
05/28/2022,"Egg, Large, White",Egg,Breakfast,122.0,Grams,146,0,9.76,14.64,0,2.44,0,0,427,158.60
